extension,magic_number
cwk,02 00 5a 57 52 54 00 00 00 00 00 00 00 00 00 00
wk1,00 00 02 00 06 04 06 00 08 00 00 00 00 00
wk3,00 00 1A 00 00 10 04 00 00 00 00 00
wk4,00 00 1A 00 02 10 04 00 00 00 00 00
wk5,00 00 1A 00 02 10 04 00 00 00 00 00
123,00 00 1A 00 05 10 04
qxd,00 00 49 49 58 50 52 ( little-endian ) 00 00 4D 4D 58 50 52 ( big-endian )
psafe3,50 57 53 33
pcap,D4 C3 B2 A1 ( little-endian )
pcap,4D 3C B2 A1 (little-endian)
pcapng,0A 0D 0D 0A
rpm,ED AB EE DB
sqlitedb,53 51 4C 69 74 65 20 66 6F 72 6D 61 74 20 33 00
sqlite,53 51 4C 69 74 65 20 66 6F 72 6D 61 74 20 33 00
db,53 51 4C 69 74 65 20 66 6F 72 6D 61 74 20 33 00
bin,53 50 30 31
wad,49 57 41 44
pic,00
pif,00
sea,00
ytr,00
pdb,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
dba,BE BA FE CA
dba,00 01 42 44
tda,00 01 44 54
tdf$,54 44 46 24
tdef,54 44 45 46
ico,00 00 01 00
icns,69 63 6e 73
3gp,66 74 79 70 33 67
3g2,66 74 79 70 33 67
heic,66 74 79 70 68 65 69 63 66 74 79 70 6d
z,1F 9D
tar.z,1F 9D
z,1F A0
tar.z,1F A0
lzh,2D 6C 68 30 2D
lzh,2D 6C 68 35 2D
bac,42 41 43 4B 4D 49 4B 45 44 49 53 4B
idx,49 4E 44 58
plist,62 70 6C 69 73 74
bz2,42 5A 68
gif,47 49 46 38 37 61 47 49 46 38 39 61
tif,49 49 2A 00 (little-endian)
tiff,49 49 2A 00 (little-endian)
tif,49 49 2B 00 (little-endian)
tiff,49 49 2B 00 (little-endian)
cr2,49 49 2A 00 10 00 00 00 43 52
cr3,66 74 79 70 63 72 78 43 52
cin,80 2A 5F D7
nui,4E 55 52 55 49 4D 47 4E 55 52 55 50 41 4C
nup,4E 55 52 55 49 4D 47 4E 55 52 55 50 41 4C
dpx,53 44 50 58 ( big-endian format)
exr,76 2F 31 01
bpg,42 50 47 FB
jpg,FF D8 FF DB
jpeg,FF D8 FF DB
jpg,FF D8 FF E0
jp2,00 00 00 0C 6A 50 20 20 0D 0A 87 0A
j2k,00 00 00 0C 6A 50 20 20 0D 0A 87 0A
jpf,00 00 00 0C 6A 50 20 20 0D 0A 87 0A
jpm,00 00 00 0C 6A 50 20 20 0D 0A 87 0A
jpg2,00 00 00 0C 6A 50 20 20 0D 0A 87 0A
j2c,00 00 00 0C 6A 50 20 20 0D 0A 87 0A
jpc,00 00 00 0C 6A 50 20 20 0D 0A 87 0A
jpx,00 00 00 0C 6A 50 20 20 0D 0A 87 0A
mj2,00 00 00 0C 6A 50 20 20 0D 0A 87 0A
qoi,71 6F 69 66
ilbm,46 4F 52 4D ?? ?? ?? ?? 49 4C 42 4D
lbm,46 4F 52 4D ?? ?? ?? ?? 49 4C 42 4D
ibm,46 4F 52 4D ?? ?? ?? ?? 49 4C 42 4D
iff,46 4F 52 4D ?? ?? ?? ?? 49 4C 42 4D
8svx,46 4F 52 4D ?? ?? ?? ?? 38 53 56 58
8sv,46 4F 52 4D ?? ?? ?? ?? 38 53 56 58
svx,46 4F 52 4D ?? ?? ?? ?? 38 53 56 58
snd,46 4F 52 4D ?? ?? ?? ?? 38 53 56 58
iff,46 4F 52 4D ?? ?? ?? ?? 38 53 56 58
acbm,46 4F 52 4D ?? ?? ?? ?? 41 43 42 4D
iff,46 4F 52 4D ?? ?? ?? ?? 41 43 42 4D
anbm,46 4F 52 4D ?? ?? ?? ?? 41 4E 42 4D
iff,46 4F 52 4D ?? ?? ?? ?? 41 4E 42 4D
anim,46 4F 52 4D ?? ?? ?? ?? 41 4E 49 4D
iff,46 4F 52 4D ?? ?? ?? ?? 41 4E 49 4D
faxx,46 4F 52 4D ?? ?? ?? ?? 46 41 58 58
fax,46 4F 52 4D ?? ?? ?? ?? 46 41 58 58
iff,46 4F 52 4D ?? ?? ?? ?? 46 41 58 58
ftxt,46 4F 52 4D ?? ?? ?? ?? 46 54 58 54
iff,46 4F 52 4D ?? ?? ?? ?? 46 54 58 54
smus,46 4F 52 4D ?? ?? ?? ?? 53 4D 55 53
smu,46 4F 52 4D ?? ?? ?? ?? 53 4D 55 53
mus,46 4F 52 4D ?? ?? ?? ?? 53 4D 55 53
iff,46 4F 52 4D ?? ?? ?? ?? 53 4D 55 53
cmus,46 4F 52 4D ?? ?? ?? ?? 43 4D 55 53
mus,46 4F 52 4D ?? ?? ?? ?? 43 4D 55 53
iff,46 4F 52 4D ?? ?? ?? ?? 43 4D 55 53
yuvn,46 4F 52 4D ?? ?? ?? ?? 59 55 56 4E
yuv,46 4F 52 4D ?? ?? ?? ?? 59 55 56 4E
iff,46 4F 52 4D ?? ?? ?? ?? 59 55 56 4E
iff,46 4F 52 4D ?? ?? ?? ?? 46 41 4E 54
aiff,46 4F 52 4D ?? ?? ?? ?? 41 49 46 46
aif,46 4F 52 4D ?? ?? ?? ?? 41 49 46 46
aifc,46 4F 52 4D ?? ?? ?? ?? 41 49 46 46
snd,46 4F 52 4D ?? ?? ?? ?? 41 49 46 46
iff,46 4F 52 4D ?? ?? ?? ?? 41 49 46 46
lz,4C 5A 49 50
cpio,30 37 30 37 30 31
cpio,30 37 30 37 30 32
cpio,30 37 30 37 30 37
exe,4D 5A
dll,4D 5A
mui,4D 5A
sys,4D 5A
scr,4D 5A
cpl,4D 5A
ocx,4D 5A
ax,4D 5A
iec,4D 5A
ime,4D 5A
rs,4D 5A
tsp,4D 5A
fon,4D 5A
efi,4D 5A
ssp,53 4D 53 4E 46 32 30 30
exe,5A 4D
zip,50 4B 03 04 50 4B 05 06 (empty archive) 50 4B 07 08 (spanned archive)
aar,50 4B 03 04 50 4B 05 06 (empty archive) 50 4B 07 08 (spanned archive)
apk,50 4B 03 04 50 4B 05 06 (empty archive) 50 4B 07 08 (spanned archive)
docx,50 4B 03 04 50 4B 05 06 (empty archive) 50 4B 07 08 (spanned archive)
epub,50 4B 03 04 50 4B 05 06 (empty archive) 50 4B 07 08 (spanned archive)
ipa,50 4B 03 04 50 4B 05 06 (empty archive) 50 4B 07 08 (spanned archive)
jar,50 4B 03 04 50 4B 05 06 (empty archive) 50 4B 07 08 (spanned archive)
kmz,50 4B 03 04 50 4B 05 06 (empty archive) 50 4B 07 08 (spanned archive)
maff,50 4B 03 04 50 4B 05 06 (empty archive) 50 4B 07 08 (spanned archive)
msix,50 4B 03 04 50 4B 05 06 (empty archive) 50 4B 07 08 (spanned archive)
odp,50 4B 03 04 50 4B 05 06 (empty archive) 50 4B 07 08 (spanned archive)
ods,50 4B 03 04 50 4B 05 06 (empty archive) 50 4B 07 08 (spanned archive)
odt,50 4B 03 04 50 4B 05 06 (empty archive) 50 4B 07 08 (spanned archive)
pk3,50 4B 03 04 50 4B 05 06 (empty archive) 50 4B 07 08 (spanned archive)
pk4,50 4B 03 04 50 4B 05 06 (empty archive) 50 4B 07 08 (spanned archive)
pptx,50 4B 03 04 50 4B 05 06 (empty archive) 50 4B 07 08 (spanned archive)
usdz,50 4B 03 04 50 4B 05 06 (empty archive) 50 4B 07 08 (spanned archive)
vsdx,50 4B 03 04 50 4B 05 06 (empty archive) 50 4B 07 08 (spanned archive)
xlsx,50 4B 03 04 50 4B 05 06 (empty archive) 50 4B 07 08 (spanned archive)
xpi,50 4B 03 04 50 4B 05 06 (empty archive) 50 4B 07 08 (spanned archive)
whl,50 4B 03 04 50 4B 05 06 (empty archive) 50 4B 07 08 (spanned archive)
rar,52 61 72 21 1A 07 00
rar,52 61 72 21 1A 07 01 00
none,7F 45 4C 46
axf,7F 45 4C 46
bin,7F 45 4C 46
elf,7F 45 4C 46
o,7F 45 4C 46
out,7F 45 4C 46
prx,7F 45 4C 46
puff,7F 45 4C 46
ko,7F 45 4C 46
mod,7F 45 4C 46
so,7F 45 4C 46
png,89 50 4E 47 0D 0A 1A 0A
hdf4,0E 03 13 01
h4,0E 03 13 01
hdf5,89 48 44 46 0D 0A 1A 0A
h5,89 48 44 46 0D 0A 1A 0A
com,C9
class,CA FE BA BE
txt,EF BB BF
others,EF BB BF
txt,FF FE
others,FF FE
txt,FE FF
others,FE FF
txt,FF FE 00 00
others,FF FE 00 00
txt,00 00 FE FF
others,00 00 FE FF
txt,0E FE FF
others,0E FE FF
ps,25 21 50 53
eps,25 21 50 53 2D 41 64 6F 62 65 2D 33 2E 30 20 45 50 53 46 2D 33 2E 30
epsf,25 21 50 53 2D 41 64 6F 62 65 2D 33 2E 30 20 45 50 53 46 2D 33 2E 30
eps,25 21 50 53 2D 41 64 6F 62 65 2D 33 2E 31 20 45 50 53 46 2D 33 2E 30
epsf,25 21 50 53 2D 41 64 6F 62 65 2D 33 2E 31 20 45 50 53 46 2D 33 2E 30
chm,49 54 53 46 03 00 00 00 60 00 00 00
hlp,3F 5F
pdf,25 50 44 46 2D
asf,30 26 B2 75 8E 66 CF 11 A6 D9 00 AA 00 62 CE 6C
wma,30 26 B2 75 8E 66 CF 11 A6 D9 00 AA 00 62 CE 6C
wmv,30 26 B2 75 8E 66 CF 11 A6 D9 00 AA 00 62 CE 6C
ogg,4F 67 67 53
oga,4F 67 67 53
ogv,4F 67 67 53
psd,38 42 50 53
wav,52 49 46 46 ?? ?? ?? ?? 57 41 56 45
avi,52 49 46 46 ?? ?? ?? ?? 41 56 49 20
mp3,FF FB FF F3 FF F2
mp3,49 44 33
bmp,42 4D
dib,42 4D
iso,43 44 30 30 31
cdi,43 44 30 30 31
mgw,6D 61 69 6E 2E 62 73
nes,4E 45 53
d64,A0 32 41 A0 A0 A0
g64,47 53 52 2D 31 35 34 31
d81,A0 33 44 A0 A0
t64,43 36 34 20 74 61 70 65 20 69 6D 61 67 65 20 66 69 6C 65
crt,43 36 34 20 43 41 52 54 52 49 44 47 45 20 20 20
fits,53 49 4D 50 4C 45 20 20 3D 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 54
flac,66 4C 61 43
mid,4D 54 68 64
midi,4D 54 68 64
doc,D0 CF 11 E0 A1 B1 1A E1
xls,D0 CF 11 E0 A1 B1 1A E1
ppt,D0 CF 11 E0 A1 B1 1A E1
msi,D0 CF 11 E0 A1 B1 1A E1
msg,D0 CF 11 E0 A1 B1 1A E1
dex,64 65 78 0A 30 33 35 00
vmdk,4B 44 4D
vmdk,23 20 44 69 73 6B 20 44 65 73 63 72 69 70 74 6F
crx,43 72 32 34
fh8,41 47 44 33
cwk,05 07 00 00 42 4F 42 4F 05 07 00 00 00 00 00 00 00 00 00 00 00 01
cwk,06 07 E1 00 42 4F 42 4F 06 07 E1 00 00 00 00 00 00 00 00 00 00 01
toast,45 52 02 00 00 00
dmg,6B 6F 6C 79
xar,78 61 72 21
dat,50 4D 4F 43 43 4D 4F 43
nes,4E 45 53 1A
tar,75 73 74 61 72 00 30 30 75 73 74 61 72 20 20 00
oar,4F 41 52 ??
tox,74 6F 78 33
mlv,4D 4C 56 49
7z,37 7A BC AF 27 1C
gz,1F 8B
tar.gz,1F 8B
xz,FD 37 7A 58 5A 00
tar.xz,FD 37 7A 58 5A 00
lz4,04 22 4D 18
cab,4D 53 43 46
??,53 5A 44 44 88 F0 27 33
_,53 5A 44 44 88 F0 27 33
flif,46 4C 49 46
mkv,1A 45 DF A3
mka,1A 45 DF A3
mks,1A 45 DF A3
mk3d,1A 45 DF A3
webm,1A 45 DF A3
stg,4D 49 4C 20
djvu,41 54 26 54 46 4F 52 4D ?? ?? ?? ?? 44 4A 56
djv,41 54 26 54 46 4F 52 4D ?? ?? ?? ?? 44 4A 56
crt,2D 2D 2D 2D 2D 42 45 47 49 4E 20 43 45 52 54 49 46 49 43 41 54 45 2D 2D 2D 2D 2D
pem,2D 2D 2D 2D 2D 42 45 47 49 4E 20 43 45 52 54 49 46 49 43 41 54 45 2D 2D 2D 2D 2D
csr,2D 2D 2D 2D 2D 42 45 47 49 4E 20 43 45 52 54 49 46 49 43 41 54 45 20 52 45 51 55 45 53 54 2D 2D 2D 2D 2D
pem,2D 2D 2D 2D 2D 42 45 47 49 4E 20 43 45 52 54 49 46 49 43 41 54 45 20 52 45 51 55 45 53 54 2D 2D 2D 2D 2D
key,2D 2D 2D 2D 2D 42 45 47 49 4E 20 50 52 49 56 41 54 45 20 4B 45 59 2D 2D 2D 2D 2D
pem,2D 2D 2D 2D 2D 42 45 47 49 4E 20 50 52 49 56 41 54 45 20 4B 45 59 2D 2D 2D 2D 2D
key,2D 2D 2D 2D 2D 42 45 47 49 4E 20 44 53 41 20 50 52 49 56 41 54 45 20 4B 45 59 2D 2D 2D 2D 2D
pem,2D 2D 2D 2D 2D 42 45 47 49 4E 20 44 53 41 20 50 52 49 56 41 54 45 20 4B 45 59 2D 2D 2D 2D 2D
key,2D 2D 2D 2D 2D 42 45 47 49 4E 20 52 53 41 20 50 52 49 56 41 54 45 20 4B 45 59 2D 2D 2D 2D 2D
pem,2D 2D 2D 2D 2D 42 45 47 49 4E 20 52 53 41 20 50 52 49 56 41 54 45 20 4B 45 59 2D 2D 2D 2D 2D
ppk,50 75 54 54 59 2D 55 73 65 72 2D 4B 65 79 2D 46 69 6C 65 2D 32 3A
ppk,50 75 54 54 59 2D 55 73 65 72 2D 4B 65 79 2D 46 69 6C 65 2D 33 3A
pub,2D 2D 2D 2D 2D 42 45 47 49 4E 20 53 53 48 32 20 4B 45 59 2D 2D 2D 2D 2D
dcm,44 49 43 4D
woff,77 4F 46 46
woff2,77 4F 46 32
xml,3C 3F 78 6D 6C 20
(,3C 3F 78 6D 6C 20
utf-8,3C 3F 78 6D 6C 20
or,3C 3F 78 6D 6C 20
other,3C 3F 78 6D 6C 20
8-bit,3C 3F 78 6D 6C 20
encodings),3C 3F 78 6D 6C 20
wasm,00 61 73 6D
lep,CF 84 01
swf,43 57 53
deb,21 3C 61 72 63 68 3E 0A
webp,52 49 46 46 ?? ?? ?? ?? 57 45 42 50
rtf,7B 5C 72 74 66 31
ts,47
tsv,47
tsa,47
mpg,47
mpeg,47
m2p,00 00 01 BA
vob,00 00 01 BA
mpg,00 00 01 BA
mpeg,00 00 01 BA
mpg,00 00 01 B3
mpeg,00 00 01 B3
mp4,66 74 79 70 69 73 6F 6D
mp4,66 74 79 70 4D 53 4E 56
zlib,78 01
lzfse,62 76 78 32
orc,4F 52 43
avro,4F 62 6A 01
rc,53 45 51 36
rbxl,3C 72 6F 62 6C 6F 78 21
p25,65 87 78 56
obt,65 87 78 56
pcv,55 55 AA AA
pbt,78 56 34
pdt,78 56 34
pea,78 56 34
peb,78 56 34
pet,78 56 34
pgt,78 56 34
pict,78 56 34
pjt,78 56 34
pkt,78 56 34
pmt,78 56 34
ez2,45 4D 58 32
ez3,45 4D 55 33
iso,45 4D 55 33
luac,1B 4C 75 61
alias,62 6F 6F 6B 00 00 00 00 6D 61 72 6B 00 00 00 00
identifier,5B 5A 6F 6E 65 54 72 61 6E 73 66 65 72 5D
eml,52 65 63 65 69 76 65 64 3A
tde,20 02 01 62 A0 1E AB 07 02 00 00 00
kdb,37 48 03 02 00 00 00 00 58 35 30 39 4B 45 59
pgp,85 ?? ?? 03
zst,28 B5 2F FD
rs,52 53 56 4B 44 41 54 41
sml,3A 29 0A
vpk,34 12 AA 55
ace,2A 2A 41 43 45 2A 2A
arj,60 EA
cab,49 53 63 28
??_,4B 57 41 4A
??_,53 5A 44 44
zoo,5A 4F 4F
pbm,50 31 0A
pbm,50 34 0A
pgm,50 32 0A
pgm,50 35 0A
ppm,50 33 0A
ppm,50 36 0A
wmf,D7 CD C6 9A
xcf,67 69 6D 70 20 78 63 66
xpm,2F 2A 20 58 50 4D 20 2A 2F
aff,41 46 46
ex01,45 56 46 32
e01,45 56 46
qcow,51 46 49
ani,52 49 46 46 ?? ?? ?? ?? 41 43 4F 4E
cda,52 49 46 46 ?? ?? ?? ?? 43 44 44 41
qcp,52 49 46 46 ?? ?? ?? ?? 51 4C 43 4D
dcr,52 49 46 58 ?? ?? ?? ?? 46 47 44 4D (big-endian)
dir,52 49 46 58 ?? ?? ?? ?? 4D 56 39 33 (big-endian)
dxr,52 49 46 58 ?? ?? ?? ?? 4D 56 39 33 (big-endian)
drx,52 49 46 58 ?? ?? ?? ?? 4D 56 39 33 (big-endian)
flv,46 4C 56
vdi,3C 3C 3C 20 4F 72 61 63 6C 65 20 56 4D 20 56 69 72 74 75 61 6C 42 6F 78 20 44 69 73 6B 20 49 6D 61 67 65 20 3E 3E 3E
vhd,63 6F 6E 65 63 74 69 78
vhdx,76 68 64 78 66 69 6C 65
isz,49 73 5A 21
daa,44 41 41
evt,4C 66 4C 65
evtx,45 6C 66 46 69 6C 65
sdb,73 64 62 66
grp,50 4D 43 43
icm,4B 43 4D 53
dat,72 65 67 66
hiv,72 65 67 66
pst,21 42 44 4E
drc,44 52 41 43 4F
grib,47 52 49 42
grib2,47 52 49 42
blend,42 4C 45 4E 44 45 52
jxl,00 00 00 0C 4A 58 4C 20 0D 0A 87 0A
ttf,00 01 00 00 00
tte,00 01 00 00 00
dfont,00 01 00 00 00
otf,4F 54 54 4F
wim,4D 53 57 49 4D 00 00 00 D0 00 00 00 00
swm,4D 53 57 49 4D 00 00 00 D0 00 00 00 00
esd,4D 53 57 49 4D 00 00 00 D0 00 00 00 00
slob,21 2D 31 53 4C 4F 42 1F
voc,43 72 65 61 74 69 76 65 20 56 6F 69 63 65 20 46 69 6C 65 1A 1A 00
au,2E 73 6E 64
snd,2E 73 6E 64
hazelrules,48 5a 4c 52 00 00 00 18
flp,46 4C 68 64
flm,31 30 4C 46
mny,00 01 00 00 4D 53 49 53 41 4D 20 44 61 74 61 62 61 73 65
accdb,00 01 00 00 53 74 61 6E 64 61 72 64 20 41 43 45 20 44 42
mdb,00 01 00 00 53 74 61 6E 64 61 72 64 20 4A 65 74 20 44 42
drw,01 FF 02 04 03 02
dss,02 64 73 73
dss,03 64 73 73
adx,03 00 00 00 41 50 50 52
indd,06 06 ED F5 D8 1D 46 E5 BD 31 EF E7 FE 74 B7 1D
mxf,06 0E 2B 34 02 05 01 01 0D 01 02 01 01 02
skf,07 53 4B 46
dtd,07 64 74 32 64 64 74 64
wallet,0A 16 6F 72 67 2E 62 69 74 63 6F 69 6E 2E 70 72
doc,0D 44 4F 43
nri,0E 4E 65 72 6F 49 53 4F
wks,0E 57 4B 53
sib,0F 53 49 42 45 4C 49 55 53
dsp,23 20 4D 69 63 72 6F 73 6F 66 74 20 44 65 76 65 6C 6F 70 65 72 20 53 74 75 64 69 6F
amr,23 21 41 4D 52
sil,23 21 53 49 4C 4B 0A
hdr,23 3F 52 41 44 49 41 4E 43 45 0A
vbe,23 40 7E 5E
cdb,0D F0 1D C0
m3u,23 45 58 54 4D 33 55
m3u8,23 45 58 54 4D 33 55
m,6D 64 66 00
pak,4B 50 4B 41
arc,41 52 43
arc,41 72 43
cdx,41 72 43
pl,D0 4F 50 53
nii,6E 2B 31 00
hdr,6E 69 31 00
hl7,4D 53 48 7C 42 53 48 7C
pwrdata,70 77 72 64 61 74 61
arc,1a 08
asc,2d 2d 2d 2d 2d 42 45 47 49 4e 20 50 47 50 20 50 55 42 4c 49 43 20 4b 45 49 20 42 4c 4f 43 4b 2d 2d 2d 2d 2d
cnt,3a 42 61 73 65 20
vdr,52 49 46 46 ?? ?? ?? ?? 56 44 52 4d
trd,52 59 46 46 ?? ?? ?? ?? 54 52 49 44
shw,52 49 46 46 ?? ?? ?? ?? 73 68 77 34
shw,52 49 46 46 ?? ?? ?? ?? 73 68 77 35
shr,52 49 46 46 ?? ?? ?? ?? 73 68 72 35
shb,52 49 46 46 ?? ?? ?? ?? 73 68 62 35
mmm,52 49 46 46 ?? ?? ?? ?? 52 4d 4d 50
e57,41 53 54 4d 2d 45 35 37
sys,aa aa aa aa
ucas,8C 0A 00
utoc,2D 3D 3D 2D 2D 3D 3D 2D 2D 3D 3D 2D 2D 3D 3D 2D
p00,43 36 34 46 69 6C 65 00
(p01,43 36 34 46 69 6C 65 00
p02,43 36 34 46 69 6C 65 00
),43 36 34 46 69 6C 65 00
journal,4C 50 4B 53 48 48 52 48
hpapp,7C 61 8A B2
hpprgm,7C 61 8A B2
hpsettings,7C 61 8A B2
czx,43 5A 50 58
pch,43 50 43 48
